Frame 34, ID:54, Class:2, Speed:0 km/h
Frame 34, ID:7, Class:2, Speed:0 km/h
Frame 35, ID:1, Class:2, Speed:17.05 km/h
Frame 35, ID:2, Class:2, Speed:26.32 km/h
Frame 35, ID:3, Class:2, Speed:6.14 km/h
Frame 35, ID:4, Class:2, Speed:2.42 km/h
Frame 35, ID:6, Class:2, Speed:6.96 km/h
Frame 35, ID:13, Class:2, Speed:40.27 km/h
Frame 35, ID:22, Class:6, Speed:7.73 km/h
Frame 35, ID:29, Class:7, Speed:66.6 km/h
Frame 35, ID:10, Class:2, Speed:18.76 km/h
Frame 35, ID:20, Class:2, Speed:2.63 km/h
Frame 35, ID:49, Class:2, Speed:40.26 km/h
Frame 35, ID:51, Class:2, Speed:8.72 km/h
Frame 35, ID:54, Class:2, Speed:45.59 km/h
Frame 35, ID:7, Class:2, Speed:2.69 km/h
Frame 36, ID:1, Class:2, Speed:5.96 km/h
Frame 36, ID:2, Class:2, Speed:21.92 km/h
Frame 36, ID:3, Class:2, Speed:7.53 km/h
Frame 36, ID:4, Class:2, Speed:4.65 km/h
Frame 36, ID:6, Class:2, Speed:5.79 km/h
Frame 36, ID:13, Class:2, Speed:18.77 km/h
Frame 36, ID:22, Class:6, Speed:7.17 km/h
Frame 36, ID:29, Class:7, Speed:56.9 km/h
Frame 36, ID:10, Class:2, Speed:2.07 km/h
Frame 36, ID:20, Class:2, Speed:3.31 km/h
Frame 36, ID:49, Class:2, Speed:30.24 km/h
Frame 36, ID:51, Class:2, Speed:14.01 km/h
Frame 36, ID:54, Class:2, Speed:35.33 km/h
Frame 36, ID:7, Class:2, Speed:0.63 km/h
Frame 37, ID:1, Class:2, Speed:9.24 km/h
Frame 37, ID:2, Class:2, Speed:8.22 km/h
Frame 37, ID:3, Class:2, Speed:3.99 km/h
Frame 37, ID:4, Class:2, Speed:2.02 km/h
Frame 37, ID:6, Class:2, Speed:9.19 km/h
Frame 37, ID:13, Class:2, Speed:16.34 km/h
Frame 37, ID:22, Class:6, Speed:7.12 km/h
Frame 37, ID:29, Class:2, Speed:55.38 km/h
Frame 37, ID:10, Class:2, Speed:6.58 km/h
Frame 37, ID:20, Class:2, Speed:2.83 km/h
Frame 37, ID:49, Class:2, Speed:30.53 km/h
Frame 37, ID:51, Class:2, Speed:3.71 km/h
Frame 37, ID:54, Class:2, Speed:59.62 km/h
Frame 38, ID:1, Class:2, Speed:12.04 km/h
Frame 38, ID:2, Class:2, Speed:11.61 km/h
Frame 38, ID:3, Class:2, Speed:1.4 km/h
Frame 38, ID:4, Class:2, Speed:1.97 km/h
Frame 38, ID:6, Class:2, Speed:5.63 km/h
Frame 38, ID:13, Class:2, Speed:25.75 km/h
Frame 38, ID:22, Class:6, Speed:12.31 km/h
Frame 38, ID:29, Class:2, Speed:52.73 km/h
Frame 38, ID:10, Class:2, Speed:1.6 km/h
Frame 38, ID:20, Class:2, Speed:2.02 km/h
Frame 38, ID:49, Class:2, Speed:56.93 km/h
Frame 38, ID:51, Class:2, Speed:12.02 km/h
Frame 38, ID:54, Class:2, Speed:25.83 km/h
Frame 39, ID:1, Class:2, Speed:8.79 km/h
Frame 39, ID:2, Class:2, Speed:11.05 km/h
Frame 39, ID:3, Class:2, Speed:7.16 km/h
Frame 39, ID:4, Class:2, Speed:2.01 km/h
Frame 39, ID:6, Class:2, Speed:4.28 km/h
Frame 39, ID:13, Class:2, Speed:18.23 km/h
Frame 39, ID:22, Class:6, Speed:9.8 km/h
Frame 39, ID:29, Class:2, Speed:54.34 km/h
Frame 39, ID:10, Class:7, Speed:7.16 km/h
Frame 39, ID:20, Class:2, Speed:0.3 km/h
Frame 39, ID:49, Class:2, Speed:56.32 km/h
Frame 39, ID:51, Class:2, Speed:6.77 km/h
Frame 39, ID:54, Class:2, Speed:33.21 km/h
Frame 40, ID:1, Class:2, Speed:6.93 km/h
Frame 40, ID:2, Class:2, Speed:8.78 km/h
Frame 40, ID:3, Class:2, Speed:1.31 km/h
Frame 40, ID:4, Class:2, Speed:3.5 km/h
Frame 40, ID:6, Class:2, Speed:2.84 km/h
Frame 40, ID:13, Class:2, Speed:17.82 km/h
Frame 40, ID:22, Class:6, Speed:8.46 km/h
Frame 40, ID:29, Class:7, Speed:47.87 km/h
Frame 40, ID:10, Class:2, Speed:9.03 km/h
Frame 40, ID:20, Class:2, Speed:5.89 km/h
Frame 40, ID:49, Class:2, Speed:57.83 km/h
Frame 40, ID:51, Class:2, Speed:7.72 km/h
Frame 40, ID:54, Class:2, Speed:35.46 km/h
Frame 41, ID:1, Class:2, Speed:8.2 km/h
Frame 41, ID:2, Class:2, Speed:7.03 km/h
Frame 41, ID:3, Class:2, Speed:6.94 km/h
Frame 41, ID:4, Class:2, Speed:1.41 km/h
Frame 41, ID:6, Class:2, Speed:3.07 km/h
Frame 41, ID:13, Class:2, Speed:22.56 km/h
Frame 41, ID:22, Class:6, Speed:9.5 km/h
Frame 41, ID:29, Class:2, Speed:51.83 km/h
Frame 41, ID:20, Class:2, Speed:2.92 km/h
Frame 41, ID:49, Class:2, Speed:65.99 km/h
Frame 41, ID:51, Class:2, Speed:12.01 km/h
Frame 41, ID:54, Class:2, Speed:25.71 km/h
Frame 42, ID:1, Class:2, Speed:10.42 km/h
Frame 42, ID:2, Class:2, Speed:7.77 km/h
Frame 42, ID:3, Class:2, Speed:2.65 km/h
Frame 42, ID:4, Class:2, Speed:4.27 km/h
Frame 42, ID:6, Class:2, Speed:7.38 km/h
Frame 42, ID:13, Class:2, Speed:14.75 km/h
Frame 42, ID:22, Class:6, Speed:7.86 km/h
Frame 42, ID:29, Class:7, Speed:41.64 km/h
Frame 42, ID:20, Class:2, Speed:6.25 km/h
Frame 42, ID:49, Class:2, Speed:61.61 km/h
Frame 42, ID:51, Class:2, Speed:16.66 km/h
Frame 42, ID:54, Class:2, Speed:26.38 km/h
Frame 43, ID:1, Class:2, Speed:13.94 km/h
Frame 43, ID:2, Class:2, Speed:8.84 km/h
Frame 43, ID:3, Class:2, Speed:7.73 km/h
Frame 43, ID:4, Class:2, Speed:2.51 km/h
Frame 43, ID:6, Class:2, Speed:3.04 km/h
Frame 43, ID:13, Class:2, Speed:22.9 km/h
